otm,n,E,win,sharpe,t,worst
1.4000000000000001,128,0.001959375000000152,0.828125,0.008747156760721181,0.013723668618883801,-4.4912
1.5,128,0.028396875000000002,0.828125,0.13488463186206862,0.21162442152260527,-4.5392
1.6,128,0.05210937500000032,0.8515625,0.2594028483898234,0.40698467256038784,-4.568
1.6999999999999997,128,0.0706406249999999,0.8515625,0.3754113594412403,0.5889937992047014,-4.568
1.7999999999999996,128,0.09961249999999999,0.8515625,0.5726954038911775,0.8985184737803125,-4.6255999999999995
1.8999999999999997,128,0.13641249999999983,0.875,0.8645745211036678,1.3564561089423817,-4.5968
1.9999999999999998,128,0.1796906249999998,0.8984375,1.2540013306948794,1.967439155472157,-4.664
2.0999999999999996,128,0.18652812499999952,0.9140625,1.3632145904042967,2.138787014672586,-4.664
2.1999999999999993,127,0.22229921259842486,0.9291338582677166,1.734610453545909,2.7108291558862168,-4.7216
2.2999999999999994,127,0.22316850393700755,0.9291338582677166,1.86593453589076,2.916060913000727,-4.7216
2.3999999999999995,127,0.23943622047244092,0.9448818897637795,2.162635352514573,3.3797415178506007,-4.76
2.499999999999999,127,0.24240314960629877,0.9606299212598425,2.386508010963012,3.7296071193677562,-4.76
2.5999999999999988,127,0.22591496062992109,0.968503937007874,2.238089117782233,3.4976597895817783,-4.8176
2.699999999999999,127,0.22457952755905497,0.968503937007874,2.3761220083707593,3.713375994631575,-4.8464
2.799999999999999,127,0.2070425196850392,0.968503937007874,2.1691962556102906,3.389994821331194,-4.8464
