h,ret_on,ret_off,ret_z,rv_on,rv_off,rv_z,t_pslow_rv,dR2,vrp_on,vrp_off,vrp_z,t_pslow_vrp
63,0.025301750076050136,0.012619068212004713,1.0980972667071582,0.13766886751796062,0.2239440311210315,-7.886222079314952,0.28234166226908713,0.00011996985102247226,0.031217537521685962,0.048822820660389434,-1.251746599189248,-0.28234166226920093
126,0.05123733257397746,0.018488273549042308,1.0713463274726664,0.14426627477152457,0.21693220527132553,-4.4342442532190365,0.898654404662002,0.003307514009836088,0.024402143921566075,0.05589332978432291,-1.2962738937734997,-0.8986544046620358
252,0.09836068775089393,0.0446185793378999,1.0657381769731493,0.15210141231704397,0.20772360314660682,-2.760147512226541,1.029741016973269,0.006614221241457163,0.01649707889611511,0.06510193190904161,-1.194607505778739,-1.0297410169731525
