otm,p_test,p_full,E,E_adj,sh,sh_adj
1.4,0.16380655226209048,0.1662921348314607,0.0019593750000001,-0.0100693032945679,0.0087471567607211,-0.04148138400813689
1.5,0.1544461778471139,0.15580524344569288,0.028396875,0.021298434017226975,0.1348846318620686,0.08643756512650745
1.6,0.1419656786271451,0.149438202247191,0.0521093750000003,0.01600616884510353,0.2594028483898234,0.0687944160932078
1.6999999999999995,0.1372854914196568,0.14194756554307117,0.0706406249999999,0.04723841591070621,0.3754113594412403,0.2035615667118279
1.7999999999999996,0.1310452418096724,0.1355805243445693,0.0996124999999999,0.07529252506880302,0.5726954038911775,0.31809949095130957
1.8999999999999997,0.12480499219968799,0.1299625468164794,0.1364124999999998,0.11254032658005608,0.8645745211036678,0.5218832433390836
2.0,0.11232449297971919,0.12134831460674157,0.1796906249999998,0.14205572284135315,1.2540013306948794,0.7105748218983368
2.0999999999999996,0.1060842433697348,0.11610486891385768,0.1865281249999995,0.14966467420502538,1.3632145904042967,0.8141597460604935
2.1999999999999993,0.0998439937597504,0.1097378277153558,0.2222992125984248,0.19028637392174613,1.734610453545909,1.123151421556456
2.2999999999999994,0.08268330733229329,0.10149812734082397,0.2231685039370075,0.14964048536267904,1.86593453589076,0.839734772227475
2.3999999999999995,0.07644305772230889,0.09213483146067415,0.2394362204724409,0.18812104518395872,2.162635352514573,1.2010431413217248
2.499999999999999,0.0717628705148206,0.08764044943820225,0.2424031496062987,0.20351741946028937,2.386508010963012,1.53666134007547
2.5999999999999988,0.059282371294851796,0.08014981273408239,0.225914960629921,0.17645312670796617,2.238089117782233,1.4125163367960738
2.699999999999999,0.056162246489859596,0.07677902621722846,0.2245795275590549,0.17272066244467496,2.3761220083707593,1.3679984120318829
2.799999999999999,0.0530421216848674,0.07378277153558052,0.2070425196850392,0.15202622907224345,2.1691962556102906,1.199001568402029
