entry,exp,S0,ST,ks,credit,intrinsic,pnl,move,yr
2024-01-19,2024-01-26,482.43,487.41,473.0,0.21,0.0,0.20159999999999997,1.0322741123064416,2024
2024-01-26,2024-02-02,487.41,494.35,478.0,0.36,0.0,0.34559999999999996,1.4238526086867376,2024
2024-02-09,2024-02-16,501.2,499.51,492.0,0.24000000000000002,0.0,0.23040000000000002,-0.33719074221867373,2024
2024-02-16,2024-02-23,499.51,507.85,490.0,0.30999999999999994,0.0,0.2975999999999999,1.6696362435186574,2024
2024-02-23,2024-03-01,507.85,512.85,498.0,0.24,0.0,0.2304,0.9845426799251822,2024
2024-03-01,2024-03-08,512.85,511.72,503.0,0.22,0.0,0.2112,-0.2203373306034928,2024
2024-03-08,2024-03-15,511.72,509.83,502.0,0.4900000000000001,0.0,0.4704000000000001,-0.3693426092394314,2024
2024-03-15,2024-03-22,509.83,521.21,500.0,0.48,0.0,0.4608,2.232116587882249,2024
2024-03-28,2024-04-05,523.07,518.43,513.0,0.2,0.0,0.192,-0.8870705641692456,2024
2024-04-05,2024-04-12,518.43,510.85,509.0,0.5700000000000001,0.0,0.5472,-1.4621067453657988,2024
2024-04-12,2024-04-19,510.85,495.16,501.0,0.6199999999999999,5.0,-4.4048,-3.0713516687873144,2024
2024-04-19,2024-04-26,495.16,508.26,486.0,0.72,0.0,0.6911999999999999,2.6456094999596003,2024
2024-04-26,2024-05-03,508.26,511.29,499.0,0.56,0.0,0.5376000000000001,0.5961515759650649,2024
2024-05-03,2024-05-10,511.29,520.84,502.0,0.24999999999999997,0.0,0.23999999999999996,1.8678245222867762,2024
2024-05-10,2024-05-17,520.84,529.45,511.0,0.32000000000000006,0.0,0.30720000000000003,1.6530988403348434,2024
2024-05-17,2024-05-24,529.45,529.44,519.0,0.16,0.0,0.1536,-0.0018887524789845678,2024
2024-05-24,2024-05-31,529.44,527.37,519.0,0.13,0.0,0.1248,-0.3909791477787916,2024
2024-05-31,2024-06-07,527.37,534.01,517.0,0.23,0.0,0.2208,1.259078066632524,2024
2024-06-07,2024-06-14,534.01,542.78,524.0,0.44,0.0,0.4224,1.6422913428587371,2024
2024-06-14,2024-06-21,542.78,544.51,532.0,0.26,0.0,0.2496,0.31872950366631514,2024
2024-06-21,2024-06-28,544.51,544.22,534.0,0.22,0.0,0.2112,-0.05325889331692091,2024
2024-06-28,2024-07-05,544.22,554.64,534.0,0.15999999999999998,0.0,0.15359999999999996,1.914666862665837,2024
2024-07-05,2024-07-12,554.64,559.99,544.0,0.2,0.0,0.192,0.9645896437328716,2024
2024-07-12,2024-07-19,559.99,548.99,549.0,0.17,0.009999999999990905,0.1532000000000091,-1.9643207914427085,2024
2024-07-19,2024-07-26,548.99,544.44,539.0,0.53,0.0,0.5088,-0.8287946957139414,2024
2024-07-26,2024-08-02,544.44,532.9,534.0,0.7100000000000001,1.1000000000000227,-0.41840000000002264,-2.1196091396664563,2024
2024-08-02,2024-08-09,532.9,532.99,523.0,0.99,0.0,0.9503999999999999,0.01688872208669423,2024
2024-08-09,2024-08-16,532.99,554.31,523.0,0.8,0.0,0.768,4.000075048312346,2024
2024-08-16,2024-08-23,554.31,562.13,544.0,0.35,0.0,0.33599999999999997,1.4107629304901614,2024
2024-08-23,2024-08-30,562.13,563.68,551.0,0.41000000000000003,0.0,0.3936,0.2757369291800815,2024
2024-08-30,2024-09-06,563.68,540.36,553.0,0.42,5.0,-4.5968,-4.137099063298311,2024
2024-09-06,2024-09-13,540.36,562.01,530.0,0.8400000000000001,0.0,0.8064,4.006588200458938,2024
2024-09-13,2024-09-20,562.01,568.25,551.0,0.6299999999999999,0.0,0.6047999999999999,1.1103005284603507,2024
2024-09-20,2024-09-27,568.25,571.47,557.0,0.37000000000000005,0.0,0.3552,0.5666520017598042,2024
2024-09-27,2024-10-04,571.47,572.98,561.0,0.6199999999999999,0.0,0.5951999999999998,0.2642308432638574,2024
2024-10-04,2024-10-11,572.98,579.58,562.0,0.5299999999999999,0.0,0.5087999999999999,1.1518726657125944,2024
2024-10-11,2024-10-18,579.58,584.59,569.0,0.42000000000000004,0.0,0.4032,0.8644190620794356,2024
2024-10-18,2024-10-25,584.59,579.04,573.0,0.21999999999999997,0.0,0.21119999999999997,-0.9493833284866415,2024
2024-10-25,2024-11-01,579.04,571.04,568.0,0.6000000000000001,0.0,0.5760000000000001,-1.381597126277978,2024
2024-11-01,2024-11-08,571.04,598.19,560.0,1.0700000000000003,0.0,1.0272000000000003,4.754483048472968,2024
2024-11-08,2024-11-15,598.19,585.75,587.0,0.31000000000000005,1.25,-0.9523999999999999,-2.079606813888568,2024
2024-11-15,2024-11-22,585.75,595.51,575.0,0.5499999999999999,0.0,0.5279999999999999,1.666239863422958,2024
2024-11-22,2024-11-29,595.51,602.55,584.0,0.19999999999999996,0.0,0.19199999999999995,1.1821799801850386,2024
2024-11-29,2024-12-06,602.55,607.81,591.0,0.24999999999999997,0.0,0.23999999999999996,0.8729566011119294,2024
2024-12-06,2024-12-13,607.81,604.21,596.0,0.13999999999999999,0.0,0.1344,-0.5922903538934765,2024
2024-12-13,2024-12-20,604.21,591.15,593.0,0.36000000000000004,1.8500000000000227,-1.5044000000000226,-2.161500140679573,2024
2024-12-20,2024-12-27,591.15,595.01,580.0,0.6099999999999999,0.0,0.5855999999999999,0.6529645606022205,2024
2024-12-27,2025-01-03,595.01,591.95,584.0,0.43,0.0,0.4128,-0.51427707097359,2024
2025-01-03,2025-01-10,591.95,580.49,581.0,0.51,0.5099999999999909,-0.020399999999990925,-1.935974322155598,2025
2025-01-10,2025-01-17,580.49,597.58,569.0,0.77,0.0,0.7392,2.9440644972350993,2025
2025-01-17,2025-01-24,597.58,607.97,586.0,0.48,0.0,0.4608,1.7386793400046896,2025
2025-01-24,2025-01-31,607.97,601.82,596.0,0.41999999999999993,0.0,0.4031999999999999,-1.0115630705462397,2025
2025-01-31,2025-02-07,601.82,600.77,590.0,0.6299999999999999,0.0,0.6047999999999999,-0.17447077199164163,2025
2025-02-07,2025-02-14,600.77,609.7,589.0,0.59,0.0,0.5663999999999999,1.486425753616194,2025
2025-02-14,2025-02-21,609.7,599.94,598.0,0.27999999999999997,0.0,0.2688,-1.6007872724290606,2025
2025-02-21,2025-02-28,599.94,594.18,589.0,0.6400000000000001,0.0,0.6144000000000001,-0.9600960096009747,2025
2025-02-28,2025-03-07,594.18,575.92,583.0,0.95,5.0,-4.088,-3.073142818674479,2025
2025-03-07,2025-03-14,575.92,562.81,565.0,1.1400000000000001,2.1900000000000546,-1.0956000000000545,-2.2763578274760388,2025
2025-03-14,2025-03-21,562.81,563.98,552.0,1.1800000000000002,0.0,1.1328,0.20788543202858722,2025
2025-03-21,2025-03-28,563.98,555.66,553.0,0.74,0.0,0.7103999999999999,-1.4752296180715718,2025
2025-03-28,2025-04-04,555.66,505.28,545.0,1.1400000000000001,5.0,-3.9055999999999997,-9.066695461253282,2025
2025-04-04,2025-04-11,505.28,533.94,496.0,1.3499999999999996,0.0,1.2959999999999996,5.672102596580131,2025
2025-04-17,2025-04-25,526.41,550.64,516.0,1.1099999999999999,0.0,1.0655999999999999,4.6028760851807515,2025
2025-04-25,2025-05-02,550.64,566.76,540.0,0.9700000000000002,0.0,0.9312000000000001,2.9275025424960077,2025
2025-05-02,2025-05-09,566.76,564.34,556.0,0.81,0.0,0.7776000000000001,-0.42698849601241484,2025
2025-05-09,2025-05-16,564.34,594.2,554.0,0.9700000000000002,0.0,0.9312000000000001,5.291136548888975,2025
2025-05-16,2025-05-23,594.2,579.11,583.0,0.5599999999999999,3.8899999999999864,-3.3523999999999865,-2.5395489734096333,2025
2025-05-23,2025-05-30,579.11,589.39,568.0,0.8500000000000003,0.0,0.8160000000000003,1.775137711315633,2025
2025-05-30,2025-06-06,589.39,599.14,578.0,0.71,0.0,0.6816,1.6542527019460795,2025
2025-06-06,2025-06-13,599.14,597.0,588.0,0.5199999999999999,0.0,0.49919999999999987,-0.3571786226925222,2025
2025-06-13,2025-06-20,597.0,594.28,586.0,0.79,0.0,0.7584,-0.4556113902847603,2025
2025-06-20,2025-06-27,594.28,614.91,583.0,0.6799999999999999,0.0,0.6527999999999999,3.4714276098808616,2025
2025-07-03,2025-07-11,625.34,623.62,613.0,0.45000000000000007,0.0,0.43200000000000005,-0.27505037259730747,2025
2025-07-11,2025-07-18,623.62,627.58,612.0,0.43000000000000005,0.0,0.41280000000000006,0.6350020846028093,2025
2025-07-18,2025-07-25,627.58,637.1,616.0,0.35,0.0,0.33599999999999997,1.5169380796073773,2025
2025-07-25,2025-08-01,637.1,621.72,625.0,0.42000000000000004,3.2799999999999727,-2.8767999999999727,-2.4140637262596076,2025
2025-08-01,2025-08-08,621.72,637.18,610.0,0.6400000000000001,0.0,0.6144000000000001,2.486649938879215,2025
2025-08-08,2025-08-15,637.18,643.44,625.0,0.32999999999999996,0.0,0.31679999999999997,0.9824539376628527,2025
2025-08-15,2025-08-22,643.44,645.31,631.0,0.37,0.0,0.35519999999999996,0.2906253885365917,2025
2025-08-22,2025-08-29,645.31,645.05,633.0,0.38000000000000006,0.0,0.36480000000000007,-0.04029071299065379,2025
